elevation,slope,aspect,hillshade,brightness,greenness,wetness,TCD,TCA,SR_B2_asm,SR_B2_contrast,SR_B2_corr,SR_B2_var,SR_B2_idm,SR_B2_savg,SR_B2_svar,SR_B2_sent,SR_B2_ent,SR_B2_dvar,SR_B2_dent,SR_B2_imcorr1,SR_B2_imcorr2,SR_B2_maxcorr,SR_B2_diss,SR_B2_inertia,SR_B2_shade,SR_B2_prom,SR_B3_asm,SR_B3_contrast,SR_B3_corr,SR_B3_var,SR_B3_idm,SR_B3_savg,SR_B3_svar,SR_B3_sent,SR_B3_ent,SR_B3_dvar,SR_B3_dent,SR_B3_imcorr1,SR_B3_imcorr2,SR_B3_maxcorr,SR_B3_diss,SR_B3_inertia,SR_B3_shade,SR_B3_prom,SR_B4_asm,SR_B4_contrast,SR_B4_corr,SR_B4_var,SR_B4_idm,SR_B4_savg,SR_B4_svar,SR_B4_sent,SR_B4_ent,SR_B4_dvar,SR_B4_dent,SR_B4_imcorr1,SR_B4_imcorr2,SR_B4_maxcorr,SR_B4_diss,SR_B4_inertia,SR_B4_shade,SR_B4_prom,SR_B5_asm,SR_B5_contrast,SR_B5_corr,SR_B5_var,SR_B5_idm,SR_B5_savg,SR_B5_svar,SR_B5_sent,SR_B5_ent,SR_B5_dvar,SR_B5_dent,SR_B5_imcorr1,SR_B5_imcorr2,SR_B5_maxcorr,SR_B5_diss,SR_B5_inertia,SR_B5_shade,SR_B5_prom,SR_B6_asm,SR_B6_contrast,SR_B6_corr,SR_B6_var,SR_B6_idm,SR_B6_savg,SR_B6_svar,SR_B6_sent,SR_B6_ent,SR_B6_dvar,SR_B6_dent,SR_B6_imcorr1,SR_B6_imcorr2,SR_B6_maxcorr,SR_B6_diss,SR_B6_inertia,SR_B6_shade,SR_B6_prom,SR_B7_asm,SR_B7_contrast,SR_B7_corr,SR_B7_var,SR_B7_idm,SR_B7_savg,SR_B7_svar,SR_B7_sent,SR_B7_ent,SR_B7_dvar,SR_B7_dent,SR_B7_imcorr1,SR_B7_imcorr2,SR_B7_maxcorr,SR_B7_diss,SR_B7_inertia,SR_B7_shade,SR_B7_prom,Blue,Green,Red,NIR,SWIR1,SWIR2,QA_PIXEL,'NDVI','GNDVI','NBR','NDWI','NDWI1','MNDWI','SIPI','NDMI','NDSI','RECl',EVI','EVI2','SR','LAI','GVI','RVI','GRVI','DVI','SAVI','OSAVI','ARVI','VARI','SLAVI','NDGI','GCVI','GRNDVI','GBNDVI','RBNDVI','BNDVI','RGRI',HH,HV
,0.163311446,0.012604924,-0.199866845,0.168683152,0.517852184,0.036248624,0.258513442,0.555939877,0.059703283,-0.231426277,-0.537640464,-0.292812607,0.227562941,-0.526497563,-0.350864041,-0.042105684,-0.042105684,-0.117200385,-0.042105684,0.011046891,-0.11143046,NaN,-0.276474531,-0.231426277,0.04718456,-0.247848871,0.059703283,0.020583421,-0.446128616,-0.035581889,0.324568683,-0.324302793,-0.088059396,-0.042105684,-0.042105684,-0.003934339,-0.042105684,0.011046891,-0.11143046,NaN,0.08579992,0.020583421,0.07472276,-0.078400071,0.059703283,-0.052469963,-0.490022837,-0.130898616,0.26322728,-0.38511825,-0.206041855,-0.011612798,-0.042105684,-0.011437305,-0.057843158,0.011046891,-0.11143046,NaN,-0.035152475,-0.052469963,0.028007857,-0.098713701,0.068880667,-0.085074498,-0.051331252,-0.091915413,0.14218417,0.519429279,-0.091212224,-0.042105684,-0.053467479,-0.117179094,-0.042105684,0.139995577,-0.23096896,NaN,-0.049258588,-0.085074498,-0.01991937,-0.123127223,0.059703283,0.248359215,-0.333975777,0.205100188,-0.346204838,0.066243808,0.140531163,-0.016101377,-0.042105684,0.121983397,-0.016101377,0.011046891,-0.11143046,NaN,0.334992243,0.248359215,0.105397404,0.120062678,0.059703283,0.11348726,-0.500410342,0.05297502,0.34777924,-0.168365353,-0.019794304,-0.042105684,-0.042105684,0.025862039,-0.042105684,0.011046891,-0.11143046,NaN,0.210292854,0.11348726,0.107174148,0.034166521,-0.321468249,-0.145423904,-0.226171533,0.398086325,0.152434055,-0.051967194,NaN,0.533656852,0.541437229,0.338276754,-0.541437229,0.338276754,-0.385794681,-0.136333371,0.338276754,-0.541437229,0.5272111,-0.313941337,0.531731729,0.527211032,-0.313941337,0.481207275,0.527211032,0.541437229,0.48428171,0.533655934,0.533656517,0.498697672,0.367272198,0.508306848,0.376898987,0.537003634,-0.376898987,0.545911783,0.543261345,0.548907085,0.537003677,0.122117599,0.312955274
0.163311446,,0.12605794,-0.017429757,-0.217549703,0.107268444,0.367490552,-0.160528389,0.329103779,0.08304548,0.158066695,0.063851828,0.138694634,0.38036812,-0.244857585,0.109029466,-0.08304548,-0.08304548,0.260855876,-0.08304548,-0.08304548,-0.08304548,NaN,0.040480815,0.158066695,0.079048081,0.04223093,0.08304548,0.190253422,0.080729127,0.175676172,0.047876753,-0.248613321,0.143695042,-0.08304548,-0.08304548,0.284171711,-0.08304548,-0.08304548,-0.08304548,NaN,0.126634525,0.190253422,0.041955032,0.067132266,0.08304548,0.101304254,0.113869581,0.095777139,0.050659783,-0.253004674,0.08293151,-0.08304548,-0.08304548,0.206813951,-0.14311354,-0.08304548,-0.08304548,NaN,-0.032837656,0.101304254,0.068565696,0.060907911,0.1495508,0.130843986,0.227034717,0.185273087,0.369293884,-0.044008817,0.214692639,-0.08304548,-0.146778067,-0.007138481,-0.08304548,0.25507352,-0.370127707,NaN,0.233419387,0.130843986,-0.24875068,0.136044069,0.08304548,0.189508012,0.049997385,0.198790849,-0.142377948,-0.32295232,0.18487982,-0.155231299,-0.08304548,0.286812363,-0.155231299,-0.08304548,-0.08304548,NaN,0.203933363,0.189508012,0.002274602,0.110530683,0.08304548,0.192673104,0.036145502,0.181103519,-0.100227286,-0.334781343,0.1520587,-0.08304548,-0.08304548,0.281619823,-0.08304548,-0.08304548,-0.08304548,NaN,0.075885881,0.192673104,0.081499698,0.093881481,-0.308398936,-0.312672658,-0.341887272,-0.029575957,-0.273912616,-0.344652736,NaN,0.18086493,0.153419129,0.366664623,-0.153419129,0.366664623,0.169940073,-0.330651182,0.366664623,-0.153419129,0.165695305,0.125474153,0.176062076,0.165695297,0.125474153,0.029576005,0.165695297,0.153419129,0.076825445,0.18086224,0.180864064,0.23215744,0.297466715,0.237399445,0.289331483,0.142337165,-0.289331483,0.1299596,0.145183867,0.111806743,0.142337049,0.221616773,0.279736628
0.012604924,0.12605794,,0.778153182,0.062202777,0.162028868,0.084336779,0.086482115,0.180581886,-0.158108694,-0.288666748,-0.015168674,-0.28958666,0.147582689,-0.060917358,-0.276712196,0.158108694,0.158108694,-0.253912519,0.158108694,0.158108694,0.158108694,NaN,-0.337583945,-0.288666748,-0.120334093,-0.15182202,-0.158108694,-0.217431115,0.01933086,-0.22583402,0.196890311,-0.062405119,-0.212112133,0.158108694,0.158108694,-0.149706691,0.158108694,0.158108694,0.158108694,NaN,-0.26121692,-0.217431115,-0.113828255,-0.15458911,-0.158108694,-0.169272782,-0.025023884,-0.166660335,-0.134057779,-0.070594072,-0.151953683,0.158108694,0.158108694,-0.137893786,-0.117226212,0.158108694,0.158108694,NaN,-0.230536843,-0.169272782,-0.03986514,-0.009318919,-0.166476808,-0.166559067,-0.029485011,-0.129467355,0.049344672,0.10221814,-0.092116965,0.158108694,0.166231315,-0.048030378,0.158108694,0.041925023,0.058933577,NaN,-0.17490368,-0.166559067,-0.194722738,-0.087718648,-0.158108694,-0.273356701,-0.138907363,-0.320848392,0.186559866,-0.022791283,-0.329981036,0.096014842,0.158108694,-0.184045312,0.096014842,0.158108694,0.158108694,NaN,-0.262977656,-0.273356701,-0.395617462,-0.378655811,-0.158108694,-0.336915883,-0.086318438,-0.39245249,-0.030793677,-0.061746297,-0.421723512,0.158108694,0.158108694,-0.278588569,0.158108694,0.158108694,0.158108694,NaN,-0.3700399,-0.336915883,-0.29506248,-0.368579828,-0.016100569,-0.024327182,-0.049390103,0.139615891,0.02236319,-0.042855595,NaN,0.189905738,0.197309231,0.168598049,-0.197309231,0.168598049,-0.090683231,-0.082135092,0.168598049,-0.197309231,0.17170928,-0.218301364,0.184282461,0.171709157,-0.218301364,0.146772415,0.171709157,0.197309231,0.160929321,0.189905404,0.189905632,0.193708341,0.108608784,0.186154425,0.105663629,0.177773411,-0.105663629,0.181552419,0.179052847,0.175894275,0.177773364,-0.190415673,-0.162680324
-0.199866845,-0.017429757,0.778153182,,-0.267488501,-0.180649469,0.208841266,-0.269544246,-0.044268373,-0.188889072,-0.201118355,0.07851344,-0.200695637,0.151145773,-0.182977262,-0.190515566,0.188889072,0.188889072,-0.107915012,0.188889072,0.188889072,0.188889072,NaN,-0.317428456,-0.201118355,0.08159905,-0.038400481,-0.188889072,-0.125645357,0.07079995,-0.147198283,0.064824338,-0.224187093,-0.154477263,0.188889072,0.188889072,-0.004612803,0.188889072,0.188889072,0.188889072,NaN,-0.255616638,-0.125645357,0.13616379,-0.001504158,-0.188889072,-0.073338568,0.049295114,-0.08444823,0.134050903,-0.165415019,-0.090566696,0.188889072,0.188889072,0.027875904,-0.09308186,0.188889072,0.188889072,NaN,-0.257477993,-0.073338568,0.18182854,0.159348973,-0.238095236,-0.033449768,-0.140227388,-0.065001897,-0.112816155,-0.352096095,-0.084924856,0.188889072,0.236132972,0.045873709,0.188889072,-0.124837807,0.284520735,NaN,-0.040536476,-0.033449768,0.073441827,-0.074285241,-0.188889072,-0.190183949,-0.08426585,-0.260437163,-0.003535833,-0.28345414,-0.298652547,0.043321516,0.188889072,-0.143169098,0.043321516,0.188889072,0.188889072,NaN,-0.190604863,-0.190183949,-0.101628226,-0.318597055,-0.188889072,-0.25853001,-0.026495136,-0.319967253,-0.087360025,-0.222941877,-0.362316047,0.188889072,0.188889072,-0.170941557,0.188889072,0.188889072,0.188889072,NaN,-0.384477166,-0.25853001,-0.109887081,-0.245631923,-0.163674651,-0.212362906,-0.16904167,-0.239825236,-0.262459112,-0.240801,NaN,-0.14181564,-0.155181044,0.04730634,0.155181044,0.04730634,0.257928765,-0.061303945,0.04730634,0.155181044,-0.147488435,0.038987094,-0.143590479,-0.147488602,0.038987094,-0.219120015,-0.147488602,-0.155181044,-0.196516911,-0.141817264,-0.141816161,-0.107290745,-0.029723699,-0.094743333,-0.037625608,-0.161293787,0.037625608,-0.168286307,-0.161280703,-0.176460721,-0.161293792,-0.243263455,-0.273582711
0.168683152,-0.217549703,0.062202777,-0.267488501,,0.601401994,-0.732171943,0.983692668,0.089684548,-0.060796878,-0.026587154,-0.132783264,-0.039136364,-0.223209535,0.511280934,-0.051996019,0.051840896,0.051840896,-0.137410409,0.051840896,0.024137703,0.086452812,NaN,0.10595293,-0.026587154,-0.192445735,-0.073585135,-0.060796878,-0.173605418,-0.134410891,-0.201179812,0.213032118,0.628097324,-0.209102172,0.051840896,0.051840896,-0.342174412,0.051840896,0.024137703,0.086452812,NaN,0.002839203,-0.173605418,-0.395332587,-0.30946085,-0.060796878,0.015337321,-0.131349384,-0.009995653,-0.402478975,0.513444904,-0.036626236,0.036066095,0.051840896,-0.15895338,0.079191912,0.024137703,0.086452812,NaN,0.246641913,0.015337321,-0.184029955,-0.116562342,-0.062298826,-0.317453715,-0.010013328,-0.256772675,0.0579042,0.776292574,-0.192490897,0.051840896,0.053688722,-0.252533106,0.051840896,-0.000849787,0.095815341,NaN,-0.287604953,-0.317453715,-0.417636399,-0.215698848,-0.060796878,-0.277946857,-0.184845748,-0.279190235,0.340248899,0.839026996,-0.249245389,0.078522777,0.051840896,-0.328279317,0.078522777,0.024137703,0.086452812,NaN,-0.253779686,-0.277946857,-0.531184684,-0.243527886,-0.060796878,-0.045334228,-0.103987307,-0.055125326,0.069853663,0.69636302,-0.061363522,0.051840896,0.051840896,-0.16958179,0.051840896,0.024137703,0.086452812,NaN,0.126199233,-0.045334228,-0.222491775,-0.094890152,0.708687914,0.854350354,0.713619863,0.858774041,0.975542189,0.861436808,NaN,0.47824812,0.541861019,-0.197656378,-0.541861019,-0.197656378,-0.935037904,0.39280581,-0.197656378,-0.541861019,0.473876983,-0.6696784,0.476867405,0.473876979,-0.6696784,0.74645153,0.473876979,0.541861019,0.670050718,0.478254217,0.4782501,0.341047285,0.010244573,0.314925295,0.032836308,0.530347152,-0.032836308,0.579609664,0.547290351,0.619954658,0.530347106,-0.138105796,-0.167304586
0.517852184,0.107268444,0.162028868,-0.180649469,0.601401994,,0.015711316,0.734794747,0.844338366,-0.152193745,0.063108535,-0.22288564,0.026799482,0.05691455,-0.110293419,-0.017112383,0.1596796,0.1596796,0.038214537,0.1596796,0.178481997,0.126278871,NaN,0.045541061,0.063108535,-0.008357772,0.045160296,-0.152193745,0.023131927,-0.146507424,0.003010713,0.226052549,0.030407327,-0.017319713,0.1596796,0.1596796,-0.106848107,0.1596796,0.178481997,0.126278871,NaN,0.129363946,0.023131927,-0.208770225,-0.12525157,-0.152193745,0.037562652,-0.120438162,0.026040594,-0.19330248,-0.10676451,0.011693636,0.171156101,0.1596796,-0.006154662,0.152872288,0.178481997,0.126278871,NaN,0.092833641,0.037562652,0.007876037,0.005466813,-0.152895743,-0.038796589,0.013850762,-0.016551456,0.079842724,0.774184625,0.001910728,0.1596796,0.160537103,0.070169188,0.1596796,0.139493564,0.117129618,NaN,-0.018042452,-0.038796589,-0.419042367,-0.073120308,-0.152193745,0.118755653,-0.24317123,0.118967257,-0.157350739,0.305933535,0.105900617,0.181739772,0.1596796,0.038319678,0.181739772,0.178481997,0.126278871,NaN,0.192887214,0.118755653,-0.270938994,0.047146538,-0.152193745,0.172473995,-0.233009252,0.157806281,0.294628451,0.085210905,0.127568027,0.1596796,0.1596796,0.083580915,0.1596796,0.178481997,0.126278871,NaN,0.238519702,0.172473995,0.067056949,0.186538157,-0.096100482,0.1135016,-0.111168624,0.923822643,0.466784897,0.135434589,NaN,0.986335385,0.993628865,0.624371784,-0.993628865,0.624371784,-0.705276263,-0.311966697,0.624371784,-0.993628865,0.986384076,-0.444831502,0.986610725,0.986384074,-0.444831502,0.97973115,0.986384074,0.993628865,0.994850618,0.986336461,0.986335734,0.941505331,0.728968281,0.942271808,0.744592983,0.993308953,-0.744592983,0.996189108,0.995859623,0.9918321,0.993308933,0.140002486,0.250283742
0.036248624,0.367490552,0.084336779,0.208841266,-0.732171943,0.015711316,,-0.616368742,0.493344717,-0.124460464,0.152121506,0.190643164,0.178244724,0.310235831,-0.605650664,0.200380712,0.147461585,0.147461585,0.268714429,0.147461585,0.212592921,0.052390894,NaN,-0.03103805,0.152121506,0.304704214,0.251271673,-0.124460464,0.232912661,0.225880603,0.296195483,-0.140468474,-0.656523487,0.330450985,0.147461585,0.147461585,0.346702642,0.147461585,0.212592921,0.052390894,NaN,0.104065618,0.232912661,0.325929685,0.325744312,-0.124460464,0.027757061,0.262550251,0.096800554,0.193280059,-0.604889371,0.164298601,0.18561309,0.147461585,0.210662346,0.124678637,0.212592921,0.052390894,NaN,-0.2134457,0.027757061,0.249707349,0.178342833,-0.125511739,0.417935997,0.153038541,0.392331417,-0.057824426,-0.410203409,0.346527698,0.147461585,0.148768851,0.394110854,0.147461585,0.162438957,0.059147476,NaN,0.405908794,0.417935997,0.115862898,0.30124455,-0.124460464,0.395306845,0.142921918,0.430979528,-0.366651904,-0.820532563,0.417283801,0.126880424,0.147461585,0.426119535,0.126880424,0.212592921,0.052390894,NaN,0.397380996,0.395306845,0.384548341,0.372565034,-0.124460464,0.182174705,0.138119941,0.22793078,0.105127605,-0.761419749,0.259663158,0.147461585,0.147461585,0.314810039,0.147461585,0.212592921,0.052390894,NaN,-0.020590325,0.182174705,0.370442782,0.336459295,-0.887196249,-0.887353836,-0.874875081,-0.319862411,-0.858414965,-0.959418022,NaN,0.145450247,0.084565924,0.786472449,-0.084565924,0.786472449,0.689082036,-0.600190982,0.786472449,-0.084565924,0.156816162,0.379391232,0.149273955,0.1568162,0.379391232,-0.171790111,0.1568162,0.084565924,-0.059643297,0.14544422,0.145448296,0.259712113,0.465910798,0.345495135,0.451516954,0.101920734,-0.451516954,0.047586218,0.080854045,0.000732222,0.101920771,0.352108627,0.41356056
0.258513442,-0.160528389,0.086482115,-0.269544246,0.983692668,0.734794747,-0.616368742,,0.265982784,-0.0883082,-0.003822378,-0.163218509,-0.022733163,-0.174107794,0.410939965,-0.043847002,0.082323003,0.082323003,-0.102432754,0.082323003,0.062786821,0.104403928,NaN,0.103368213,-0.003822378,-0.161263789,-0.048631878,-0.0883082,-0.142492739,-0.148680222,-0.170719193,0.228561665,0.540232011,-0.18224917,0.082323003,0.082323003,-0.313150739,0.082323003,0.062786821,0.104403928,NaN,0.030323042,-0.142492739,-0.381294992,-0.292019218,-0.0883082,0.022720098,-0.140121144,-0.001871648,-0.386234599,0.41279901,-0.028295218,0.071379516,0.082323003,-0.133571744,0.103299785,0.062786821,0.104403928,NaN,0.23016974,0.022720098,-0.153702585,-0.098387646,-0.089843684,-0.279151766,-0.002177728,-0.222379071,0.06337906,0.831679374,-0.163412033,0.082323003,0.084211374,-0.198548095,0.082323003,0.030993834,0.111416965,NaN,-0.24938589,-0.279151766,-0.447865088,-0.200405692,-0.0883082,-0.210765946,-0.211706832,-0.2114366,0.255824462,0.779895061,-0.188497585,0.110015174,0.082323003,-0.27001737,0.110015174,0.062786821,0.104403928,NaN,-0.174335336,-0.210765946,-0.50785258,-0.197007347,-0.0883082,0.003332753,-0.140745617,-0.007784159,0.128191441,0.610790242,-0.019630446,0.082323003,0.082323003,-0.120408164,0.082323003,0.062786821,0.104403928,NaN,0.16200572,0.003332753,-0.168417891,-0.034279718,0.581194412,0.751040143,0.581922108,0.936473416,0.931782149,0.761748542,NaN,0.627028201,0.683070139,-0.025741148,-0.683070139,-0.025741148,-0.950221907,0.265461582,-0.025741148,-0.683070139,0.623775344,-0.668204555,0.626060614,0.62377534,-0.668204555,0.853229633,0.62377534,0.683070139,0.791875275,0.627033622,0.627029961,0.500492128,0.170288598,0.479383403,0.192749249,0.673542507,-0.192749249,0.715583944,0.687880038,0.74862692,0.673542466,-0.080411356,-0.081481747
0.555939877,0.329103779,0.180581886,-0.044268373,0.089684548,0.844338366,0.493344717,0.265982784,,-0.145239406,0.108190412,-0.220433478,0.063974726,0.227095541,-0.456965836,0.009000168,0.160319649,0.160319649,0.155655883,0.160319649,0.201657094,0.096587018,NaN,-0.005883629,0.108190412,0.0979101,0.092799391,-0.145239406,0.152993435,-0.13303059,0.133839257,0.124377237,-0.355749974,0.101766153,0.160319649,0.160319649,0.109532069,0.160319649,0.201657094,0.096587018,NaN,0.16626528,0.152993435,-0.023053805,0.02815673,-0.145239406,0.057862075,-0.102940117,0.049926564,0.034197185,-0.449036221,0.037708114,0.184797261,0.160319649,0.119916451,0.117078105,0.201657094,0.096587018,NaN,-0.027560183,0.057862075,0.119668671,0.081497081,-0.14461822,0.135637889,0.024510112,0.124304076,0.061968651,0.463080399,0.107275965,0.160319649,0.159543028,0.230818056,0.160319649,0.177575941,0.072104307,NaN,0.145140229,0.135637889,-0.253009465,0.023577609,-0.145239406,0.323531232,-0.205369424,0.317257489,-0.393254722,-0.151649235,0.275821756,0.170151808,0.160319649,0.269839825,0.170151808,0.201657094,0.096587018,NaN,0.395684581,0.323531232,0.006501868,0.198723016,-0.145239406,0.258445298,-0.249257412,0.23889885,0.317315022,-0.32841413,0.196116792,0.160319649,0.160319649,0.233912913,0.160319649,0.201657094,0.096587018,NaN,0.226676158,0.258445298,0.218520204,0.28304065,-0.578662978,-0.413296672,-0.596991875,0.581682389,-0.059974828,-0.389897032,NaN,0.910497219,0.879498954,0.904793054,-0.879498954,0.904793054,-0.263257556,-0.629903732,0.904793054,-0.879498954,0.910190391,-0.133603273,0.910725431,0.91019038,-0.133603273,0.722799185,0.91019038,0.879498954,0.790735924,0.910494492,0.910496333,0.942671187,0.888669536,0.960366585,0.89249713,0.883359296,-0.89249713,0.857492217,0.877375023,0.82716693,0.883359296,0.248688478,0.40835447
0.059703283,0.08304548,-0.158108694,-0.188889072,-0.060796878,-0.152193745,-0.124460464,-0.0883082,-0.145239406,,-0.112813251,-0.275582554,-0.148879238,-0.093129507,-0.036988059,-0.184094533,-0.998190138,-0.998190138,-0.133724398,-0.998190138,-0.971411477,-0.98343486,NaN,-0.077490613,-0.112813251,-0.109439778,-0.141183082,1,-0.135665755,-0.2780746,-0.187993191,-0.074255717,-0.046230751,-0.221846912,-0.998190138,-0.998190138,-0.162866537,-0.998190138,-0.971411477,-0.98343486,NaN,-0.080748949,-0.135665755,-0.126413201,-0.185111545,1,-0.061960771,-0.267442085,-0.11953272,-0.125687135,-0.004360354,-0.172980084,-0.98668812,-0.998190138,-0.126552663,-0.940181864,-0.971411477,-0.98343486,NaN,0.040177695,-0.061960771,-0.140944199,-0.151976364,0.999331726,-0.25758006,0.012813415,-0.234708557,-0.050402234,-0.101028958,-0.201407385,-0.998190138,-0.997231291,-0.246921277,-0.998190138,-0.825445485,-0.823438973,NaN,-0.313872417,-0.25758006,0.04062469,-0.135450466,1,-0.181816595,-0.141982833,-0.215555265,-0.080928799,-0.030401769,-0.224025817,-0.994223015,-0.998190138,-0.206951117,-0.994223015,-0.971411477,-0.98343486,NaN,-0.138998852,-0.181816595,-0.083205567,-0.196685178,1,-0.1055571,-0.205130552,-0.160586607,-0.062835565,-0.016075024,-0.208618345,-0.998190138,-0.998190138,-0.142239091,-0.998190138,-0.971411477,-0.98343486,NaN,-0.059917508,-0.1055571,-0.123364401,-0.168366188,0.044706565,0.012573045,0.063453682,-0.13447555,-0.001709074,0.056908029,NaN,-0.161149788,-0.148288883,-0.196260654,0.148288883,-0.196260654,0.000519581,0.113197963,-0.196260654,0.148288883,-0.170926619,-0.02664369,-0.164524814,-0.170926601,-0.02664369,-0.142361179,-0.170926601,-0.148288883,-0.159555192,-0.161149636,-0.161149717,-0.170878701,-0.203985858,-0.188498259,-0.202881477,-0.157920665,0.202881477,-0.148604054,-0.155878423,-0.14240503,-0.157920712,-0.109659417,-0.168610125
